id,hotel_name,city,contact_name,email,phone,website,current_web_status,audit_notes,outreach_status,date_added,last_action,follow_up_date,emails_sent
lead-001,Sunset Cove Resort,"Miami, FL",Hotel Manager / Owner,info@sunsetcoveresort.com,+1-305-555-0199,http://sunsetcoveresort.com,No direct booking engine; redirects to Booking.com,Losing ~18% commission on every reservation; mobile view broken,emailed,2026-08-26,2026-08-30,2026-08-29,3
lead-002,Pine Hill Lodge,"Aspen, CO",Owner,info@pinehill.com,+1-970-555-0142,http://pinehill.com,"Outdated HTTP site, no booking engine","Replied - interested, demo requested",emailed,2026-08-22,2026-08-30,2026-08-29,4
lead-003,Harbor Inn,"Boston, MA",Manager,owner@harborinn.com,+1-617-555-0177,,"Listed on OTA only, no website",Proposal sent; awaiting contract review,emailed,2026-08-18,2026-08-30,2026-08-28,3
lead-9b67eb,St. Anthony Guest House,"Anjuna, Goa",Hotel Manager / Owner,info@stanthonysguesthouse.com,+91- Goa Anjuna,https://stanthonysguesthouse.com/,,"Audit pending HTTPS/booking check - small 8-room guesthouse, likely OTA-dependent. Verify direct booking before pitch.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-1fa7dc,Green Pelican Anjuna,"Anjuna, Goa",Hotel Manager / Owner,greenpelican.anjuna@example.com,,http://green-pelican-anjuna-goa.aavaas24.in,,"Template site on aavaas24.in sub-domain, no direct booking engine detected (offline audit). High OTA commission risk.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-f5ed6e,Moon Star Guest House,"Anjuna, Goa",Hotel Manager / Owner,,,https://magicpin.in/Goa/Anjuna/Hotel/Moon-Star-Guest-House/store/748c69,,"Listed only on magicpin/Justdial, no standalone website found. OTA/directory dependent.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-3476ff,Adilson Guest House,"Calangute, Goa",Hotel Manager / Owner,,,https://hotelschart.com/hotel/adilsonguesthouse,,"Listed on hotelschart directory only, OTA dependent. Near Calangute Beach, 2km. No standalone booking engine detected.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-73c940,Romaldo Guest House,"Calangute, Goa",Hotel Manager / Owner,,,https://goaindia-hotelsresorts.com/guest-house-calangute,,"Directory listing under goaindia-hotelsresorts.com, 2-star, 4.4km from Anjuna. No direct site found, high commission risk.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-75f460,Serene Palolem Guest House,"Palolem, Goa",Hotel Manager / Owner,,,https://www.booking.com/hotel/in/serene-palolem-guest-house.html,,"Palolem: H.No 117 Mohanbagh Palolem Canacona — Serene Guest House, garden/terrace. Listed on Goibibo/Booking. Address verified, phone needs Justdial/Google Maps verification — do not email without permission.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-bd7eb0,Palolem Guest House,"Palolem, Goa",Hotel Manager / Owner,,,https://www.tripadvisor.com/Hotel_Review-g2334950-d1739204-Reviews-Palolem_Guest_House-Palolem_Canacona_South_Goa_District_Goa.html,,"TripAdvisor listing, 160 reviews, ranked #10 B&B. No direct booking site found, OTA dependent.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-532c62,Pavitra Beach Home Baga,"Baga, Goa",Hotel Manager / Owner,,,https://www.pavitrabeachhome.com,,"Baga Marina Block 3, Baga 403516 — Pavitra Beach Home. Found via NSN/Justdial. Phone hidden behind Justdial login — verify via maps before outreach.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-d6a8c9,Vivenda Dos Palhacos,"Majorda, Goa",Hotel Manager / Owner,,,https://vivendagoa.com/,,"120yr heritage Portuguese boutique, South Goa Majorda. Check direct booking vs i-escape/Makemytrip — likely commission leakage.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-fbbcd4,Casa Hillary Guest House,"Colva, Goa",Hotel Manager / Owner,,,https://bed-and-breakfast.me/colva-india,,"B&B in Colva, opened Mar 2024, garden view. Listed on B&B directory + Airbnb, no standalone booking engine found.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-2cb6e7,De Garland Palolem,"Palolem, Goa",Hotel Manager / Owner,,,https://www.thatgoangirl.com/10-beautiful-hotels-in-south-goa-to-stay-at,,"Boutique 4-star Palolem 15-20min walk to beach. Featured in blog, likely on Booking/TripAdvisor — verify direct site.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-c7e899,Amaraanth Boutique Colva,"Colva, Goa",Hotel Manager / Owner,,,https://www.cntraveller.in/gallery/the-best-hotels-in-goa-north-goa-south-goa-anjuna-candolim-panjim,,"Luxury boutique dozen suites South Goa, Conde Nast listing. High OTA commission if no direct engine.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-ab1631,Varca Guest Houses Cluster,"Varca, Goa",Hotel Manager / Owner,,,https://www.justdial.com/Goa/Guest-House-in-Varca/nct-10238369,,"42 guest houses in Varca per Justdial — cluster for phone outreach. Sample: pick any Justdial listing, verify via Google Maps.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-5c8dec,Luciano Guest House,"Arambol, Goa",Hotel Manager / Owner,,,https://www.lucianoguesthousegoa.com/,,"Family-owned beachfront Arambol, 3 room types. Live site but verify booking engine — likely phone/OTA dependent. Audit next.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-0f9a74,Cactus Guest House,"Arambol, Goa",Hotel Manager / Owner,,,https://arambolcactus.com/,,"Arambol garden/terrace guesthouse, balcony rooms. Site live, check for direct engine vs calls.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-7af3e6,Marsan Bay Guest House,"Arambol, Goa",Hotel Manager / Owner,,,https://marsanbay.com/,,"Budget guesthouse Girkar Vaddo facing Arambol Beach, lush green. Home-stay concept, likely no channel manager.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-4cfcd9,Casa Joseph Candolim,"Candolim, Goa",Hotel Manager / Owner,,,https://pensionguide.net/en/candolim,,"Top B&B near Delfino's Candolim, beach access. Directory listing — OTA dependent.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-872e98,Morjim Homestays Cluster,"Morjim, Goa",Hotel Manager / Owner,,,https://www.makemytrip.com/hotels/area-homestays-in-morjim-goa.html,,"Morjim homestays cluster on MakeMyTrip/Airbnb, 70% off listings — high OTA commission, no direct sites.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-e7f7c5,Sami Beach Huts Agonda,"Agonda, Goa",Hotel Manager / Owner,,,https://samibeachhuts.in/,,"Beach huts centre Agonda golden sand, palm fringed. Check booking engine vs phone.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-134523,Madhu Huts Agonda,"Agonda, Goa",Hotel Manager / Owner,,,https://madhuhutsagonda.com/,,"Agonda beach golden sands, boutique huts. Likely direct site but verify channel manager.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-6d6a60,Om Sai Beach Resort Agonda,"Agonda, Goa",Hotel Manager / Owner,,,https://www.agondagoa.com/,,"Beach cottages Agonda, cottages/resort. Verify OTA vs direct.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-06732f,Mateus Boutique Panjim,"Panjim, Goa",Hotel Manager / Owner,,,https://us.trip.com/hotels/panaji-hotel-detail-7384732/mateus-boutique-hotel,,"Panjim boutique, Trip.com listing — OTA dependent, check direct site.",identified,2026-08-30,2026-08-30,2026-09-02,0
lead-181c28,Crown Heritage Panjim,"Panjim, Goa",Hotel Manager / Owner,,,https://hospitalitynews.in/news/atmosphere-core-signs-crown-heritage-panjim-in-goa,,New Atmosphere Core heritage boutique Panjim April 2026 — likely needs modern direct booking site.,identified,2026-08-30,2026-08-30,2026-09-02,0
